time_rel,throughput_mbps,flow
0.25006103515625,8.106821761876754,h5
0.5000579357147217,9.7306765786977,h5
0.7500569820404053,9.730598859255526,h5
1.0000579357147217,9.730520561072936,h5
1.250058889389038,9.68418474887735,h5
1.5000550746917725,9.730715438884355,h5
1.750058889389038,9.73040456608154,h5
2.0000550746917725,9.730715438884355,h5
2.2500550746917725,9.684224,h5
2.500058889389038,9.73040456608154,h5
2.7500550746917725,9.730715438884355,h5
3.000056028366089,9.730520561072936,h5
3.250062942504883,9.683952711976133,h5
3.500056028366089,9.73083260132567,h5
3.750056028366089,9.73056,h5
4.000009059906006,9.732389621605071,h5
4.250062942504883,9.68213258933307,h5
4.500053882598877,9.730910324501753,h5
4.750053882598877,9.73056,h5
5.000057935714722,9.68406930624306,h5
5.250067949295044,9.73017026463402,h5
5.500056982040405,9.730988048919444,h5
5.750056982040405,9.684224,h5
6.000056982040405,9.73056,h5
6.250019073486328,9.732039190584182,h5
6.500056982040405,6.393396255912508,h5
6.750220060348511,0.41675229600490915,h5
7.000258922576904,0.0,h5
7.250257968902588,0.0,h5
7.500257968902588,0.0,h5
7.750257968902588,0.0,h5
8.0002601146698,0.0,h5
8.250257015228271,0.0,h5
8.500262022018433,0.0,h5
8.7502601146698,0.0,h5
9.000267028808594,0.0,h5
9.250298023223877,0.0,h5
9.500258922576904,0.0,h5
9.750262022018433,0.0,h5
10.000262022018433,0.0,h5
10.250304937362671,0.0,h5
10.500262022018433,0.0,h5
10.750298976898193,0.0,h5
11.0002601146698,0.0,h5
11.250262975692749,0.0,h5
11.500258922576904,0.0,h5
11.750258922576904,0.0,h5
12.0002601146698,0.0,h5
12.250257968902588,0.0,h5
12.500257968902588,0.0,h5
12.750257968902588,0.0,h5
13.000262975692749,0.0,h5
13.250258922576904,0.0,h5
13.500261068344116,0.0,h5
13.750261068344116,0.0,h5
14.000300884246826,0.0,h5
14.250300884246826,0.0,h5
14.5002601146698,0.0,h5
14.750261068344116,0.0,h5
15.000262022018433,0.0,h5
15.250262975692749,0.0,h5
15.500262975692749,0.0,h5
15.750261068344116,0.0,h5
16.000261068344116,0.0,h5
16.250261068344116,0.0,h5
16.500258922576904,0.0,h5
16.750257968902588,0.0,h5
17.000258922576904,0.0,h5
17.250257968902588,0.0,h5
17.500258922576904,0.0,h5
17.75025701522827,0.0,h5
18.000257968902588,0.0,h5
18.25025701522827,0.0,h5
18.500258922576904,0.0,h5
18.750262022018433,0.0,h5
19.000262022018433,0.0,h5
19.250262022018433,0.0,h5
19.5002601146698,0.0,h5
19.7502601146698,0.0,h5
20.000261068344116,0.0,h5
20.25026297569275,0.0,h5
20.330158948898315,0.0,h5
6.250117063522339,0.0,h6
6.500056028366089,3.7077847788908946,h6
6.750056028366089,9.313536,h6
7.000053882598877,9.730637718821425,h6
7.250053882598877,9.684224,h6
7.500053882598877,9.73056,h6
7.750056028366089,9.73048228242005,h6
8.000053882598877,9.6843013487318,h6
8.250055074691772,9.730520561072936,h6
8.500053882598877,9.730598859255526,h6
8.750053882598877,9.73056,h6
9.000055074691772,9.68418474887735,h6
9.250053882598877,9.730598859255526,h6
9.500053882598877,9.73056,h6
9.750055074691772,9.730520561072936,h6
10.000055074691772,9.684224,h6
10.250056982040405,9.73048228242005,h6
10.500056028366089,9.730598859255526,h6
10.750056028366089,9.684224,h6
11.000053882598877,9.730637718821425,h6
11.250056982040405,9.730442844122976,h6
11.500053882598877,9.684340023561045,h6
11.750053882598877,9.73056,h6
12.000055074691772,9.730520561072936,h6
12.250053882598877,9.684262674211453,h6
12.50010895729065,2.733222851852218,h6
12.750111103057861,0.0,h6
13.000258922576904,0.0,h6
13.250112056732178,0.0,h6
13.500113010406494,0.0,h6
13.750112056732178,0.0,h6
14.000112056732178,0.0,h6
14.250116109848022,0.0,h6
14.500113010406494,0.0,h6
14.750113010406494,0.0,h6
15.000113010406494,0.0,h6
15.250112056732178,0.0,h6
15.500114917755127,0.0,h6
15.750264883041382,0.0,h6
16.000263929367065,0.0,h6
16.250113010406494,0.0,h6
16.500113010406494,0.0,h6
