time_rel,throughput_mbps,flow
0.25005602836608887,8.199635328792715,h5
0.5000560283660889,9.73056,h5
0.7500550746917725,9.730598859255526,h5
1.0000560283660889,9.730520561072936,h5
1.2500569820404053,9.68418474887735,h5
1.5000550746917725,9.730637718821425,h5
1.7500550746917725,9.73056,h5
2.000014066696167,9.732155804728201,h5
2.2500550746917725,9.682635738064816,h5
2.5000550746917725,9.73056,h5
2.750056028366089,9.730520561072936,h5
3.0000550746917725,9.684262674211453,h5
3.2500550746917725,9.73056,h5
3.500056028366089,9.730520561072936,h5
3.7500550746917725,9.730598859255526,h5
4.0000550746917725,9.684224,h5
4.2500550746917725,9.73056,h5
4.5000550746917725,9.73056,h5
4.7500550746917725,9.684224,h5
5.000056028366089,9.730520561072936,h5
5.2500550746917725,9.730598859255526,h5
5.500094890594482,9.682674976631803,h5
5.750057935714722,9.73200031982387,h5
6.000056982040405,9.730598859255526,h5
6.250056982040405,9.684224,h5
6.500058889389038,4.818905511293738,h5
6.750302076339722,0.0,h5
7.0002601146698,0.0,h5
7.250304937362671,0.0,h5
7.5003039836883545,0.0,h5
7.750303030014038,0.0,h5
8.000263929367065,0.0,h5
8.25029706954956,0.0,h5
8.500298023223877,0.0,h5
8.750300884246826,0.0,h5
9.0003080368042,0.0,h5
9.25029993057251,0.0,h5
9.500258922576904,0.0,h5
9.750262022018433,0.0,h5
10.000310897827148,0.0,h5
10.250262975692749,0.0,h5
10.5002601146698,0.0,h5
10.7502601146698,0.0,h5
11.000258922576904,0.0,h5
11.250219106674194,0.0,h5
11.500262975692749,0.0,h5
11.750250101089478,0.0,h5
12.000288009643555,0.0,h5
12.250258922576904,0.0,h5
12.500293970108032,0.0,h5
12.750263929367065,0.0,h5
13.000262975692749,0.0,h5
13.250303030014038,0.0,h5
13.500261068344116,0.0,h5
13.750258922576904,0.0,h5
14.000258922576904,0.0,h5
14.250300884246826,0.0,h5
14.500258922576904,0.0,h5
14.7502601146698,0.0,h5
15.000262022018433,0.0,h5
15.2502601146698,0.0,h5
15.500258922576904,0.0,h5
15.750257968902588,0.0,h5
16.000257968902588,0.0,h5
16.250257968902588,0.0,h5
16.50026297569275,0.0,h5
16.750263929367065,0.0,h5
17.00026297569275,0.0,h5
17.250263929367065,0.0,h5
17.500262022018433,0.0,h5
17.750155925750732,0.0,h5
18.000225067138672,0.0,h5
18.250262022018433,0.0,h5
18.500263929367065,0.0,h5
18.75030207633972,0.0,h5
19.000257968902588,0.0,h5
19.250305891036987,0.0,h5
19.5002601146698,0.0,h5
19.750298976898193,0.0,h5
20.0002601146698,0.0,h5
20.2502601146698,0.0,h5
20.500308990478516,0.0,h5
20.548453092575073,0.0,h5
6.250258922576904,0.0,h6
6.500056028366089,3.7562660657924587,h6
6.7500550746917725,9.17456463872664,h6
7.000053882598877,9.730598859255526,h6
7.250056028366089,9.684146652503761,h6
7.500053882598877,9.730637718821425,h6
7.750056028366089,9.73048228242005,h6
8.000055074691772,9.684262674211453,h6
8.25005292892456,9.730637718821425,h6
8.50005292892456,9.73056,h6
8.75005292892456,9.73056,h6
9.000053882598877,9.68418474887735,h6
9.250053882598877,9.73056,h6
9.50005292892456,9.730598859255526,h6
9.75002908706665,9.731494448096507,h6
10.000053882598877,9.68325551376533,h6
10.250055074691772,9.730520561072936,h6
10.500055074691772,9.73056,h6
10.750055074691772,9.684224,h6
11.000053882598877,9.730598859255526,h6
11.250053882598877,9.73056,h6
11.500053882598877,9.684224,h6
11.750055074691772,9.730520561072936,h6
12.00005292892456,9.730637718821425,h6
12.25005292892456,9.684224,h6
12.5001060962677,5.837098802878438,h6
12.750256061553955,0.0,h6
13.000257015228271,0.0,h6
13.250257968902588,0.0,h6
13.500257968902588,0.0,h6
13.750256061553955,0.0,h6
14.000313997268677,0.0,h6
14.250256061553955,0.0,h6
14.500255107879639,0.0,h6
14.750327110290527,0.0,h6
15.000305891036987,0.0,h6
15.250250101089478,0.0,h6
15.500312089920044,0.0,h6
15.750328063964844,0.0,h6
16.000205993652344,0.0,h6
16.250261068344116,0.0,h6
16.50025701522827,0.0,h6
16.750257968902588,0.0,h6
17.000207901000977,0.0,h6
17.250256061553955,0.0,h6
17.500256061553955,0.0,h6
17.750257968902588,0.0,h6
18.00025701522827,0.0,h6
18.250257968902588,0.0,h6
18.50025701522827,0.0,h6
18.750257968902588,0.0,h6
19.0003080368042,0.0,h6
19.25025701522827,0.0,h6
19.500253915786743,0.0,h6
19.750256061553955,0.0,h6
20.00025510787964,0.0,h6
20.250256061553955,0.0,h6
20.50025701522827,0.0,h6
20.750256061553955,0.0,h6
21.00025510787964,0.0,h6
21.250253915786743,0.0,h6
21.50025510787964,0.0,h6
21.750256061553955,0.0,h6
22.00025510787964,0.0,h6
12.250030994415283,0.0,h7
12.500025987625122,2.1778356158637364,h7
12.750025987625122,9.73056,h7
13.000025987625122,9.684224,h7
13.250025987625122,9.73056,h7
13.500025987625122,9.73056,h7
13.750025987625122,9.684224,h7
14.000025987625122,9.73056,h7
14.250025033950806,9.730598859255526,h7
14.50002908706665,9.73040456608154,h7
14.750030040740967,9.68418474887735,h7
15.000027894973755,9.730637718821425,h7
15.250030040740967,9.73048228242005,h7
15.500026941299438,9.7306765786977,h7
15.750030040740967,9.684107402008102,h7
16.00002908706665,9.730598859255526,h7
16.25002694129944,9.730637718821425,h7
16.50002694129944,9.684224,h7
16.750025987625122,9.730598859255526,h7
17.00002694129944,9.730520561072936,h7
17.25002694129944,9.684224,h7
17.50002908706665,5.9309606292846,h7
17.750032901763916,0.0,h7
18.000030994415283,0.0,h7
18.250032901763916,0.0,h7
