time_rel,throughput_mbps,flow
0.25001001358032227,8.201143508762962,h5
0.5000560283660889,9.682441858048817,h5
0.7500569820404053,9.730520561072936,h5
1.000058889389038,9.73048228242005,h5
1.2500629425048828,9.68406930624306,h5
1.5000560283660889,9.73083260132567,h5
1.7500569820404053,9.730520561072936,h5
2.0000569820404053,9.73056,h5
2.25006103515625,9.68406930624306,h5
2.5000569820404053,9.730715438884355,h5
2.7500569820404053,9.73056,h5
3.0000569820404053,9.73056,h5
3.2500579357147217,9.68418474887735,h5
3.5000579357147217,9.73056,h5
3.7500579357147217,9.73056,h5
4.000041961669922,9.731182945456709,h5
4.250057935714722,9.683604100321546,h5
4.500057935714722,9.73056,h5
4.750060081481934,9.73048228242005,h5
5.00006103515625,9.68418474887735,h5
5.250057935714722,9.7306765786977,h5
5.500057935714722,9.684224,h5
5.750058889389038,9.730520561072936,h5
6.000056028366089,9.7306765786977,h5
6.250057935714722,9.73048228242005,h5
6.500056028366089,6.11640085183061,h5
6.750058889389038,4.95789230629123,h5
7.000056028366089,4.958011399622162,h5
7.250060081481934,4.957872802717738,h5
7.5000550746917725,4.9117143676926815,h5
7.750056982040405,4.957912401042597,h5
8.000056028366089,4.95797179971591,h5
8.250057935714722,4.9115767711263105,h5
8.500056028366089,4.911655229500338,h5
8.750056982040405,4.911596092732053,h5
9.0000638961792,4.865143706973655,h5
9.25006103515625,4.911674844485505,h5
9.50006103515625,4.818944,h5
9.750056982040405,4.819020979257013,h5
10.000056982040405,4.957952,h5
10.250056028366089,4.95797179971591,h5
10.500058889389038,4.95789230629123,h5
10.750056982040405,4.865318859410713,h5
11.000056982040405,4.86528,h5
11.250058889389038,4.9115767711263105,h5
11.500055074691772,4.911694459627341,h5
11.750056028366089,4.911596092732053,h5
12.000056028366089,5.004288,h5
12.250056028366089,4.957952,h5
12.500057935714722,4.865241141210024,h5
12.750055074691772,4.911674844485505,h5
13.000056982040405,4.9115767711263105,h5
13.250056028366089,5.004307984759985,h5
13.500060081481934,4.9115375428792545,h5
13.750057935714722,4.957991599589964,h5
14.000057935714722,4.957952,h5
14.250061988830566,4.818867023202287,h5
14.500055074691772,4.911753598764385,h5
14.750055074691772,4.911616,h5
15.000055074691772,4.911616,h5
15.250056982040405,4.9115767711263105,h5
15.500056028366089,3.753230988569989,h5
15.750056028366089,3.289856,h5
16.00005006790161,3.336272139498247,h5
16.250056982040405,3.243429137982437,h5
16.50005602836609,3.2435329530851758,h5
16.75005793571472,3.243494094140016,h5
17.000055074691772,3.2898954147025554,h5
17.25005602836609,3.33617847808215,h5
17.500055074691772,3.3362053231733237,h5
